timestamp,direction,finger_id,finger_norm,current,src_ip,src_port,dst_ip,dst_port
1766827602.5695097,Pico->Unity,0,0.007,1,192.168.0.4,62221,127.0.0.1,5005
1766827602.7285376,Pico->Unity,0,0.007,4,192.168.0.4,62221,127.0.0.1,5005
1766827602.903907,Pico->Unity,0,0.007,2,192.168.0.4,62221,127.0.0.1,5005
1766827603.061353,Pico->Unity,0,0.007,0,192.168.0.4,62221,127.0.0.1,5005
1766827603.2266939,Pico->Unity,0,0.007,0,192.168.0.4,62221,127.0.0.1,5005
1766827603.3745718,Pico->Unity,0,0.007,0,192.168.0.4,62221,127.0.0.1,5005
1766827603.548279,Pico->Unity,0,0.007,2,192.168.0.4,62221,127.0.0.1,5005
1766827604,Pico->Unity,0,0.008,0,192.168.0.4,62221,127.0.0.1,5005
1766827603.8779342,Pico->Unity,0,0.007,0,192.168.0.4,62221,127.0.0.1,5005
1766827604.059971,Pico->Unity,0,0.008,0,192.168.0.4,62221,127.0.0.1,5005
1766827604.2089324,Pico->Unity,0,0.007,0,192.168.0.4,62221,127.0.0.1,5005
1766827604.4688296,Pico->Unity,0,0.007,38,192.168.0.4,62221,127.0.0.1,5005
1766827604.5235648,Pico->Unity,0,0.009,35,192.168.0.4,62221,127.0.0.1,5005
1766827604.6984308,Pico->Unity,0,0.009,0,192.168.0.4,62221,127.0.0.1,5005
1766827604.8534348,Pico->Unity,0,0.011,33,192.168.0.4,62221,127.0.0.1,5005
1766827605.0155587,Pico->Unity,0,0.021,48,192.168.0.4,62221,127.0.0.1,5005
1766827605.1854374,Pico->Unity,0,0.065,47,192.168.0.4,62221,127.0.0.1,5005
1766827605.3424165,Pico->Unity,0,0.098,43,192.168.0.4,62221,127.0.0.1,5005
1766827605.5228271,Pico->Unity,0,0.121,47,192.168.0.4,62221,127.0.0.1,5005
1766827605.6762514,Pico->Unity,0,0.175,83,192.168.0.4,62221,127.0.0.1,5005
1766827605.8486264,Pico->Unity,0,0.232,67,192.168.0.4,62221,127.0.0.1,5005
1766827605.8623862,Unity->Pico,0,0.474,,127.0.0.1,55353,192.168.0.4,5001
1766827606.0072987,Pico->Unity,0,0.258,44,192.168.0.4,62221,127.0.0.1,5005
1766827606.017982,Unity->Pico,0,1,,127.0.0.1,55353,192.168.0.4,5001
1766827606.1628852,Pico->Unity,0,0.268,57,192.168.0.4,62221,127.0.0.1,5005
1766827606.3387492,Pico->Unity,0,0.268,112,192.168.0.4,62221,127.0.0.1,5005
1766827606.491766,Pico->Unity,0,0.268,115,192.168.0.4,62221,127.0.0.1,5005
1766827606.6557097,Pico->Unity,0,0.268,126,192.168.0.4,62221,127.0.0.1,5005
1766827606.8245125,Pico->Unity,0,0.268,125,192.168.0.4,62221,127.0.0.1,5005
1766827606.9834614,Pico->Unity,0,0.268,119,192.168.0.4,62221,127.0.0.1,5005
1766827607.1564224,Pico->Unity,0,0.267,115,192.168.0.4,62221,127.0.0.1,5005
1766827607.3189795,Pico->Unity,0,0.252,74,192.168.0.4,62221,127.0.0.1,5005
1766827607.3388336,Unity->Pico,0,0.963,,127.0.0.1,55353,192.168.0.4,5001
1766827607.4753962,Pico->Unity,0,0.24,100,192.168.0.4,62221,127.0.0.1,5005
1766827607.4794178,Unity->Pico,0,0.712,,127.0.0.1,55353,192.168.0.4,5001
1766827607.643577,Pico->Unity,0,0.24,112,192.168.0.4,62221,127.0.0.1,5005
1766827607.8048973,Pico->Unity,0,0.24,76,192.168.0.4,62221,127.0.0.1,5005
1766827607.9750881,Pico->Unity,0,0.24,79,192.168.0.4,62221,127.0.0.1,5005
1766827608.1381931,Pico->Unity,0,0.24,80,192.168.0.4,62221,127.0.0.1,5005
1766827608.2943583,Pico->Unity,0,0.24,87,192.168.0.4,62221,127.0.0.1,5005
1766827608.4632087,Pico->Unity,0,0.24,79,192.168.0.4,62221,127.0.0.1,5005
1766827608.6222708,Pico->Unity,0,0.24,79,192.168.0.4,62221,127.0.0.1,5005
1766827608.7968087,Pico->Unity,0,0.24,83,192.168.0.4,62221,127.0.0.1,5005
1766827608.9608605,Pico->Unity,0,0.24,84,192.168.0.4,62221,127.0.0.1,5005
1766827609.1144052,Pico->Unity,0,0.241,81,192.168.0.4,62221,127.0.0.1,5005
1766827609,Unity->Pico,0,0.739,,127.0.0.1,55353,192.168.0.4,5001
1766827609.282129,Pico->Unity,0,0.244,84,192.168.0.4,62221,127.0.0.1,5005
1766827609.2991571,Unity->Pico,0,0.816,,127.0.0.1,55353,192.168.0.4,5001
1766827609.4420202,Pico->Unity,0,0.258,93,192.168.0.4,62221,127.0.0.1,5005
1766827609.4602714,Unity->Pico,0,1,,127.0.0.1,55353,192.168.0.4,5001
1766827609.6145635,Pico->Unity,0,0.258,93,192.168.0.4,62221,127.0.0.1,5005
1766827609.794845,Pico->Unity,0,0.259,109,192.168.0.4,62221,127.0.0.1,5005
1766827609.9336116,Pico->Unity,0,0.259,117,192.168.0.4,62221,127.0.0.1,5005
1766827610.1112423,Pico->Unity,0,0.259,117,192.168.0.4,62221,127.0.0.1,5005
1766827610.263441,Pico->Unity,0,0.259,116,192.168.0.4,62221,127.0.0.1,5005
1766827610.4480276,Pico->Unity,0,0.259,107,192.168.0.4,62221,127.0.0.1,5005
1766827610.617065,Pico->Unity,0,0.258,116,192.168.0.4,62221,127.0.0.1,5005
1766827610.7564375,Pico->Unity,0,0.256,97,192.168.0.4,62221,127.0.0.1,5005
1766827610.926786,Pico->Unity,0,0.238,83,192.168.0.4,62221,127.0.0.1,5005
1766827610.9397194,Unity->Pico,0,0.655,,127.0.0.1,55353,192.168.0.4,5001
1766827611,Pico->Unity,0,0.239,127,192.168.0.4,62221,127.0.0.1,5005
1766827611.1395848,Unity->Pico,0,0.684,,127.0.0.1,55353,192.168.0.4,5001
1766827611.2611048,Pico->Unity,0,0.238,81,192.168.0.4,62221,127.0.0.1,5005
1766827611.2799606,Unity->Pico,0,0.655,,127.0.0.1,55353,192.168.0.4,5001
1766827611.4327939,Pico->Unity,0,0.238,79,192.168.0.4,62221,127.0.0.1,5005
1766827611.574506,Pico->Unity,0,0.238,76,192.168.0.4,62221,127.0.0.1,5005
1766827611.739694,Pico->Unity,0,0.238,67,192.168.0.4,62221,127.0.0.1,5005
1766827611.9024937,Pico->Unity,0,0.238,69,192.168.0.4,62221,127.0.0.1,5005
1766827612.0791125,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827612.2543159,Pico->Unity,0,0.238,67,192.168.0.4,62221,127.0.0.1,5005
1766827612.3932714,Pico->Unity,0,0.239,70,192.168.0.4,62221,127.0.0.1,5005
1766827612.398083,Unity->Pico,0,0.684,,127.0.0.1,55353,192.168.0.4,5001
1766827612.5596516,Pico->Unity,0,0.238,69,192.168.0.4,62221,127.0.0.1,5005
1766827612.5781002,Unity->Pico,0,0.655,,127.0.0.1,55353,192.168.0.4,5001
1766827612.7217696,Pico->Unity,0,0.238,66,192.168.0.4,62221,127.0.0.1,5005
1766827612.8942852,Pico->Unity,0,0.238,63,192.168.0.4,62221,127.0.0.1,5005
1766827613.0539737,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827613.214077,Pico->Unity,0,0.238,80,192.168.0.4,62221,127.0.0.1,5005
1766827613.377989,Pico->Unity,0,0.238,66,192.168.0.4,62221,127.0.0.1,5005
1766827613.5415752,Pico->Unity,0,0.238,74,192.168.0.4,62221,127.0.0.1,5005
1766827613.7175996,Pico->Unity,0,0.239,69,192.168.0.4,62221,127.0.0.1,5005
1766827613.7376814,Unity->Pico,0,0.684,,127.0.0.1,55353,192.168.0.4,5001
1766827613.8733733,Pico->Unity,0,0.238,69,192.168.0.4,62221,127.0.0.1,5005
1766827613.878415,Unity->Pico,0,0.655,,127.0.0.1,55353,192.168.0.4,5001
1766827614.0971298,Pico->Unity,0,0.238,79,192.168.0.4,62221,127.0.0.1,5005
1766827614.1977715,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827614.361002,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827614.534345,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827614.6928723,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827614.9144819,Pico->Unity,0,0.238,76,192.168.0.4,62221,127.0.0.1,5005
1766827615.0169032,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827615.1863804,Pico->Unity,0,0.238,73,192.168.0.4,62221,127.0.0.1,5005
1766827615.3501296,Pico->Unity,0,0.238,71,192.168.0.4,62221,127.0.0.1,5005
1766827615.5151913,Pico->Unity,0,0.238,79,192.168.0.4,62221,127.0.0.1,5005
1766827615.671725,Pico->Unity,0,0.238,70,192.168.0.4,62221,127.0.0.1,5005
1766827615.8370757,Pico->Unity,0,0.238,69,192.168.0.4,62221,127.0.0.1,5005
1766827616.0054097,Pico->Unity,0,0.238,64,192.168.0.4,62221,127.0.0.1,5005
