timestamp,direction,src_ip,src_port,dst_ip,dst_port,payload
1766818325.9124362,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.003"
1766818326.0155756,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.003"
1766818326.1226118,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.003"
1766818326.2266357,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.003"
1766818326.3229597,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.004"
1766818326.4352174,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.004"
1766818326.5459502,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.004"
1766818326.630566,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.004"
1766818326.770783,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.005"
1766818326.8381033,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.006"
1766818326.9420805,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.005"
1766818327.0423126,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.006"
1766818327.1465836,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.006"
1766818327.254206,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.006"
1766818327.3523781,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.007"
1766818327.4546926,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.017"
1766818327.5592842,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.050"
1766818327.6607676,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.069"
1766818327.7643304,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.094"
1766818327.8696067,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.112"
1766818327.9697206,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.122"
1766818328.0846844,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.144"
1766818328.1769319,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.181"
1766818328.2792833,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.214"
1766818328.2871122,Unity->Pico,127.0.0.1,65515,192.168.0.4,5001,"0,0.033"
1766818328.3897476,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.245"
1766818328.403883,Unity->Pico,127.0.0.1,65515,192.168.0.4,5001,"0,0.839"
1766818328.4862802,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.260"
1766818328.5024476,Unity->Pico,127.0.0.1,65515,192.168.0.4,5001,"0,1.000"
1766818328.5890682,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.268"
1766818328.735907,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.269"
1766818328.7951968,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.269"
1766818328.8999171,Pico->Unity,192.168.0.4,57140,127.0.0.1,5005,"0,0.269"
