timestamp,direction,finger_id,finger_norm,current,src_ip,src_port,dst_ip,dst_port
1766824424.245876,Pico->Unity,0,0.000,0,192.168.0.4,58216,127.0.0.1,5005
1766824424.406386,Pico->Unity,0,0.000,0,192.168.0.4,58216,127.0.0.1,5005
1766824424.570566,Pico->Unity,0,0.000,2,192.168.0.4,58216,127.0.0.1,5005
1766824424.7345846,Pico->Unity,0,0.000,1,192.168.0.4,58216,127.0.0.1,5005
1766824424.900196,Pico->Unity,0,0.000,11,192.168.0.4,58216,127.0.0.1,5005
1766824425.0907235,Pico->Unity,0,0.000,0,192.168.0.4,58216,127.0.0.1,5005
1766824425.2262619,Pico->Unity,0,0.000,0,192.168.0.4,58216,127.0.0.1,5005
1766824425.389344,Pico->Unity,0,0.001,0,192.168.0.4,58216,127.0.0.1,5005
1766824425.5546248,Pico->Unity,0,0.001,0,192.168.0.4,58216,127.0.0.1,5005
1766824425.7175772,Pico->Unity,0,0.001,1,192.168.0.4,58216,127.0.0.1,5005
1766824425.891103,Pico->Unity,0,0.001,0,192.168.0.4,58216,127.0.0.1,5005
1766824426.0451348,Pico->Unity,0,0.002,30,192.168.0.4,58216,127.0.0.1,5005
1766824426.2128758,Pico->Unity,0,0.003,31,192.168.0.4,58216,127.0.0.1,5005
1766824426.382412,Pico->Unity,0,0.004,11,192.168.0.4,58216,127.0.0.1,5005
1766824426.5396392,Pico->Unity,0,0.004,33,192.168.0.4,58216,127.0.0.1,5005
1766824426.7243257,Pico->Unity,0,0.006,44,192.168.0.4,58216,127.0.0.1,5005
1766824426.8667567,Pico->Unity,0,0.053,69,192.168.0.4,58216,127.0.0.1,5005
1766824427.0509374,Pico->Unity,0,0.076,44,192.168.0.4,58216,127.0.0.1,5005
1766824427.274128,Pico->Unity,0,0.111,61,192.168.0.4,58216,127.0.0.1,5005
1766824427.3590548,Pico->Unity,0,0.143,51,192.168.0.4,58216,127.0.0.1,5005
1766824427.5374482,Pico->Unity,0,0.163,44,192.168.0.4,58216,127.0.0.1,5005
1766824427.685961,Pico->Unity,0,0.188,40,192.168.0.4,58216,127.0.0.1,5005
1766824427.8504124,Pico->Unity,0,0.199,43,192.168.0.4,58216,127.0.0.1,5005
1766824428.016828,Pico->Unity,0,0.198,2,192.168.0.4,58216,127.0.0.1,5005
1766824428.1801496,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824428.3604403,Pico->Unity,0,0.199,1,192.168.0.4,58216,127.0.0.1,5005
1766824428.5064628,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824428.7076313,Pico->Unity,0,0.199,7,192.168.0.4,58216,127.0.0.1,5005
1766824428.8360436,Pico->Unity,0,0.199,1,192.168.0.4,58216,127.0.0.1,5005
1766824429.0137737,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824429.1815937,Pico->Unity,0,0.199,2,192.168.0.4,58216,127.0.0.1,5005
1766824429.3440037,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824429.4901536,Pico->Unity,0,0.199,5,192.168.0.4,58216,127.0.0.1,5005
1766824429.6644347,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824429.8187194,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824429.9862256,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824430.1465397,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824430.325788,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824430.4745529,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824430.6380713,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824431.0441444,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824431.045151,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824431.1419134,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824431.3008835,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824431.4681602,Pico->Unity,0,0.199,0,192.168.0.4,58216,127.0.0.1,5005
1766824431.6257634,Pico->Unity,0,0.204,30,192.168.0.4,58216,127.0.0.1,5005
1766824431.788825,Pico->Unity,0,0.233,48,192.168.0.4,58216,127.0.0.1,5005
1766824431.811557,Unity->Pico,0,0.505,,127.0.0.1,51083,192.168.0.4,5001
1766824431.964946,Pico->Unity,0,0.259,46,192.168.0.4,58216,127.0.0.1,5005
1766824431.9683118,Unity->Pico,0,1.000,,127.0.0.1,51083,192.168.0.4,5001
1766824432.1175652,Pico->Unity,0,0.276,69,192.168.0.4,58216,127.0.0.1,5005
1766824432.2921906,Pico->Unity,0,0.277,120,192.168.0.4,58216,127.0.0.1,5005
1766824432.4710455,Pico->Unity,0,0.277,120,192.168.0.4,58216,127.0.0.1,5005
1766824432.6079023,Pico->Unity,0,0.276,125,192.168.0.4,58216,127.0.0.1,5005
1766824432.782614,Pico->Unity,0,0.276,119,192.168.0.4,58216,127.0.0.1,5005
1766824432.940826,Pico->Unity,0,0.276,110,192.168.0.4,58216,127.0.0.1,5005
1766824433.1103055,Pico->Unity,0,0.276,126,192.168.0.4,58216,127.0.0.1,5005
1766824433.2720082,Pico->Unity,0,0.276,120,192.168.0.4,58216,127.0.0.1,5005
1766824433.4284968,Pico->Unity,0,0.277,106,192.168.0.4,58216,127.0.0.1,5005
1766824433.599425,Pico->Unity,0,0.260,109,192.168.0.4,58216,127.0.0.1,5005
1766824433.776546,Pico->Unity,0,0.259,127,192.168.0.4,58216,127.0.0.1,5005
1766824433.9296849,Pico->Unity,0,0.247,74,192.168.0.4,58216,127.0.0.1,5005
1766824433.9479015,Unity->Pico,0,0.882,,127.0.0.1,51083,192.168.0.4,5001
1766824434.0932522,Pico->Unity,0,0.218,57,192.168.0.4,58216,127.0.0.1,5005
1766824434.1086433,Unity->Pico,0,0.097,,127.0.0.1,51083,192.168.0.4,5001
1766824434.2473445,Pico->Unity,0,0.194,67,192.168.0.4,58216,127.0.0.1,5005
1766824434.269725,Unity->Pico,0,0.000,,127.0.0.1,51083,192.168.0.4,5001
1766824434.4204485,Pico->Unity,0,0.183,34,192.168.0.4,58216,127.0.0.1,5005
1766824434.5762298,Pico->Unity,0,0.182,0,192.168.0.4,58216,127.0.0.1,5005
1766824434.7478895,Pico->Unity,0,0.182,0,192.168.0.4,58216,127.0.0.1,5005
1766824434.912365,Pico->Unity,0,0.182,2,192.168.0.4,58216,127.0.0.1,5005
1766824435.0695071,Pico->Unity,0,0.182,5,192.168.0.4,58216,127.0.0.1,5005
1766824435.2390227,Pico->Unity,0,0.182,0,192.168.0.4,58216,127.0.0.1,5005
1766824435.3979378,Pico->Unity,0,0.182,0,192.168.0.4,58216,127.0.0.1,5005
1766824435.5652819,Pico->Unity,0,0.183,35,192.168.0.4,58216,127.0.0.1,5005
1766824435.7302575,Pico->Unity,0,0.184,33,192.168.0.4,58216,127.0.0.1,5005
1766824435.900827,Pico->Unity,0,0.187,33,192.168.0.4,58216,127.0.0.1,5005
1766824436.08353,Pico->Unity,0,0.204,33,192.168.0.4,58216,127.0.0.1,5005
1766824436.2405486,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824436.4014482,Pico->Unity,0,0.206,24,192.168.0.4,58216,127.0.0.1,5005
1766824436.5705693,Pico->Unity,0,0.206,28,192.168.0.4,58216,127.0.0.1,5005
1766824436.7339466,Pico->Unity,0,0.206,0,192.168.0.4,58216,127.0.0.1,5005
1766824436.9018068,Pico->Unity,0,0.207,0,192.168.0.4,58216,127.0.0.1,5005
1766824437.0888212,Pico->Unity,0,0.207,0,192.168.0.4,58216,127.0.0.1,5005
1766824437.2296448,Pico->Unity,0,0.207,1,192.168.0.4,58216,127.0.0.1,5005
1766824437.4087105,Pico->Unity,0,0.207,2,192.168.0.4,58216,127.0.0.1,5005
1766824437.5746603,Pico->Unity,0,0.206,1,192.168.0.4,58216,127.0.0.1,5005
1766824437.728978,Pico->Unity,0,0.206,5,192.168.0.4,58216,127.0.0.1,5005
1766824437.9001222,Pico->Unity,0,0.206,0,192.168.0.4,58216,127.0.0.1,5005
1766824438.0640516,Pico->Unity,0,0.205,0,192.168.0.4,58216,127.0.0.1,5005
1766824438.2950613,Pico->Unity,0,0.205,2,192.168.0.4,58216,127.0.0.1,5005
1766824438.3943424,Pico->Unity,0,0.205,1,192.168.0.4,58216,127.0.0.1,5005
1766824438.5619779,Pico->Unity,0,0.205,0,192.168.0.4,58216,127.0.0.1,5005
1766824438.7415323,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824438.9069161,Pico->Unity,0,0.204,4,192.168.0.4,58216,127.0.0.1,5005
1766824439.0618331,Pico->Unity,0,0.205,12,192.168.0.4,58216,127.0.0.1,5005
1766824439.229474,Pico->Unity,0,0.207,38,192.168.0.4,58216,127.0.0.1,5005
1766824439.3958895,Pico->Unity,0,0.208,25,192.168.0.4,58216,127.0.0.1,5005
1766824439.5627294,Pico->Unity,0,0.209,0,192.168.0.4,58216,127.0.0.1,5005
1766824439.7280135,Pico->Unity,0,0.209,0,192.168.0.4,58216,127.0.0.1,5005
1766824439.9013438,Pico->Unity,0,0.209,0,192.168.0.4,58216,127.0.0.1,5005
1766824440.1060221,Pico->Unity,0,0.208,0,192.168.0.4,58216,127.0.0.1,5005
1766824440.1095498,Unity->Pico,0,0.000,,127.0.0.1,51083,192.168.0.4,5001
1766824440.2364237,Pico->Unity,0,0.209,0,192.168.0.4,58216,127.0.0.1,5005
1766824440.3942795,Pico->Unity,0,0.208,70,192.168.0.4,58216,127.0.0.1,5005
1766824440.409007,Unity->Pico,0,0.000,,127.0.0.1,51083,192.168.0.4,5001
1766824440.56289,Pico->Unity,0,0.204,69,192.168.0.4,58216,127.0.0.1,5005
1766824440.7296734,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824440.894968,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824441.074239,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824441.231079,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824441.4020154,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824441.5711246,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824441.7931147,Pico->Unity,0,0.205,0,192.168.0.4,58216,127.0.0.1,5005
1766824441.9600627,Pico->Unity,0,0.205,2,192.168.0.4,58216,127.0.0.1,5005
1766824442.12256,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824442.2865717,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824442.45103,Pico->Unity,0,0.205,0,192.168.0.4,58216,127.0.0.1,5005
1766824442.6167736,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824442.779962,Pico->Unity,0,0.205,0,192.168.0.4,58216,127.0.0.1,5005
1766824442.945598,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824443.1302319,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824443.328036,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824443.454966,Pico->Unity,0,0.204,2,192.168.0.4,58216,127.0.0.1,5005
1766824443.6386764,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824443.7785509,Pico->Unity,0,0.205,0,192.168.0.4,58216,127.0.0.1,5005
1766824443.9477046,Pico->Unity,0,0.204,7,192.168.0.4,58216,127.0.0.1,5005
1766824444.1273198,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824444.2809377,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824444.4580219,Pico->Unity,0,0.205,0,192.168.0.4,58216,127.0.0.1,5005
1766824444.6804953,Pico->Unity,0,0.204,1,192.168.0.4,58216,127.0.0.1,5005
1766824444.7973504,Pico->Unity,0,0.204,0,192.168.0.4,58216,127.0.0.1,5005
1766824444.9461029,Pico->Unity,0,0.204,2,192.168.0.4,58216,127.0.0.1,5005
